Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0147 FISICA BASICA,A,PRESENCIAL,T-3,209,07:10,08:00,LU MA  JU VI,OSWALDO ROMEO ESCOBAR ALVAREZ,JOHAN ESTIVEN SABÁN LÓPEZ,Sin restricciones
0152 FISICA 2,A,PRESENCIAL,T-1,SA-VIRT,07:10,08:00,LU MA MI  VI,CARLOS ANTONIO CAJAS VIDAURRE,HECTOR MAURICIO CACERES LARA,Sin restricciones
0154 FISICA 3,A,PRESENCIAL,T-1,SA-VIRT,09:00,09:50,LU  MI JU VI,WALTER GIOVANNI ALVAREZ MARROQUIN,SERGIO LUIS VALDÉZ PÉREZ,Sin restricciones
0170 MECANICA ANALITICA 1,A,PRESENCIAL,T-3,211,08:00,08:50,LU MA MI  VI,OSWALDO ROMEO ESCOBAR ALVAREZ,JOHAN ESTIVEN SABÁN LÓPEZ,Sin restricciones
0204 CIRCUITOS ELECTRICOS 1,A,PRESENCIAL,T-3,114,09:00,09:50,LU  MI  VI,INGRID SALOME RODRIGUEZ DE LOUKOTA,,Sin restricciones
0236 SISTEMAS DE CONTROL 1,A,PRESENCIAL,T-3,111,08:00,08:50,LU  MI  VI,INGRID SALOME RODRIGUEZ DE LOUKOTA,,Sin restricciones
0245 COMUNICACIONES 3,A,PRESENCIAL,T-7,102,19:00,19:50,LU  MI  VI,JULIO CESAR SOLARES PENATE,,Sin restricciones
0250 MECANICA DE FLUIDOS,A,HÍBRIDA,HIBR,VIRTUAL,07:10,08:00,LU  MI  VI,RAFAEL ENRIQUE MORALES OCHOA,,Ver Restricciones
0252 HIDRAULICA,A,HÍBRIDA,HIBR,VIRTUAL,11:30,12:20,LU  MI  VI,DENNIS SALVADOR ARGUETA MAYORGA,,Sin restricciones
0280 INGENIERIA SANITARIA 1,A,HÍBRIDA,HIBR,VIRTUAL,10:40,11:30,LU  MI  VI,PEDRO ANTONIO AGUILAR POLANCO,,Sin restricciones
0283 ANALISIS Y DISE\O DE SISTEMAS 1,A,HÍBRIDA,HIBR,VIRTUAL,07:10,08:50,MA  JU,WILLIAM SAMUEL GUEVARA ORELLANA,,Sin restricciones
0285 SISTEMAS OPERATIVOS 2,A,VIRTUAL,MEET,VIRTUAL,09:00,10:40,MI,EDGAR RENE ORNELIS HOIL,,Sin restricciones
0285 SISTEMAS OPERATIVOS 2,A,VIRTUAL,MEET,VIRTUAL,07:10,08:50,LU,EDGAR RENE ORNELIS HOIL,,Sin restricciones
0289 INTRODUCCION A LA INGENIERIA AMBIENTAL,A,PRESENCIAL,S-12,105,09:00,09:50,LU  MI,MARILYN CARIBEL ROJAS MALDONADO,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,A,HÍBRIDA,HIBR,VIRTUAL,08:00,08:50,LU  MI  VI,YEFRY VALENTIN ROSALES JUAREZ,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,A,HÍBRIDA,HIBR,VIRTUAL,09:50,11:30,MA,HUGO LEONEL MONTENEGRO FRANCO,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,A,HÍBRIDA,HIBR,VIRTUAL,10:40,11:30,JU,HUGO LEONEL MONTENEGRO FRANCO,,Sin restricciones
0314 CONCRETO ARMADO 1,A,HÍBRIDA,HIBR,VIRTUAL,09:00,09:50,LU  MI  VI,YEFRY VALENTIN ROSALES JUAREZ,,Sin restricciones
0318 CIMENTACIONES 1,A,HÍBRIDA,HIBR,VIRTUAL,11:30,12:20,LU  MI  VI,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0352 QUIMICA 2,A,PRESENCIAL,T-3,215,08:00,08:50,LU MA MI  VI,FRANCISCO ABEN ROSALES CEREZO,,Sin restricciones
0358 QUIMICA ORGANICA 1,A,PRESENCIAL,T-7,101,07:10,08:00,LU  MI  VI,CESAR ALFONSO GARCIA GUERRA,,Sin restricciones
0360 QUIMICA ORGANICA 2,A,PRESENCIAL,T-7,102,07:10,08:00,LU  MI  VI,GERSON JOÉL ORTEGA MORALES,,Sin restricciones
0361 BIOQUIMICA 1,A,PRESENCIAL,T-7,106,13:10,14:50,MA  JU,CESAR ALFONSO GARCIA GUERRA,,Sin restricciones
0364 ANALISIS CUANTITATIVO,A,PRESENCIAL,T-3,105,12:20,13:10,LU  MI  VI,JULIO RICARDO DIAZ PAPPA,,Sin restricciones
0366 ANALISIS INSTRUMENTAL,A,PRESENCIAL,T-7,101,14:00,14:50,LU  MI  VI,INGRID LORENA BENITEZ PACHECO,SHARY MARIÁM CABRERA RODRÍGUEZ,Sin restricciones
0371 INTRODUCCION A LA INGENIERIA QUIMICA,A,PRESENCIAL,S-12,311,09:00,09:50,LU   JU,SERGIO ALEJANDRO RECINOS,,Sin restricciones
0380 FISICO QUIMICA 1,A,PRESENCIAL,T-5,302,10:40,11:30,LU  MI  VI,ANA RUFINA HERRERA SOTO,,Sin restricciones
0382 FISICO QUIMICA 2,A,PRESENCIAL,T-3,215,09:50,10:40,LU  MI  VI,WILLIAM EDUARDO FAGIANI CRUZ,,Sin restricciones
